session_id,session_name,session_date,session_release,participant_ID,participant_gender,participant_language,condition_name,vol_id
21826,NA,NA,SHARED,1020,Female,"96% English, 4% French",Monolingual 3-6mo,445
21827,NA,NA,SHARED,4041,Male,100% English,Monolingual 6-9mo,445
21828,NA,NA,SHARED,4022,Male,100% English,Monolingual 12-15mo,445
21829,NA,NA,SHARED,4307,Male,"63% English, 37% French",Bilingual 6-9mo,445
21830,NA,NA,SHARED,1811,Female,"82% English, 18% Portugese",Other 9-12mo,445
21831,NA,NA,PRIVATE,1756,Male,100% English,Monolingual 9-12mo,445
21832,NA,NA,SHARED,2566,Female,100% English,Monolingual 3-6mo,445
21833,NA,NA,SHARED,1936,Female,"88% English, 8% French, 2% German, 2% Spanish",Other 6-9mo,445
21834,NA,NA,SHARED,2610,Male,"84% English, 16% Tagalog",Other 12-15mo,445
21835,NA,NA,SHARED,2329,Female,100% English,Monolingual 6-9mo,445
21836,NA,NA,PRIVATE,3022,Male,100% English,Monolingual 6-9mo,445
21837,NA,NA,SHARED,3052,Male,100% English,Monolingual 6-9mo,445
21838,NA,NA,SHARED,1445,Female,"71% Mandarin, 29% English",Bilingual 12-15mo,445
21839,NA,NA,SHARED,2287,Male,100% English,Monolingual 6-9mo,445
21840,NA,NA,SHARED,1417,Male,100% English,Monolingual 6-9mo,445
21841,NA,NA,SHARED,3524,Female,"79% English, 21% Spanish",Other 6-9mo,445
21842,NA,NA,SHARED,4153,Female,"75% French, 25% English",Bilingual 6-9mo,445
21843,NA,NA,SHARED,1470,Female,100% English,Monolingual 9-12mo,445
21844,NA,NA,SHARED,3985,Male,"74% English, 26% French",Other 9-12mo,445
21845,NA,NA,SHARED,1220,Female,"99% English, 1% French",Monolingual 9-12mo,445
21846,NA,NA,SHARED,3120,Female,100% English,Monolingual 9-12mo,445
21847,NA,NA,SHARED,1460,Female,"94% English, 3.5% Greek, 2.5% Italian",Monolingual 9-12mo,445
