session_id,session_name,session_date,session_release,participant_ID,participant_birthdate,participant_gender,participant_race,participant_ethnicity,participant_disability,participant_language,exclusion_reason,group_name,task1_name,task1_description,task2_name,task2_description,task3_name,task3_description,task4_name,task4_description,task5_name,task5_description,task6_name,task6_description,task7_name,task7_description,task8_name,task8_description,context_setting,context_language,context_country,context_state,vol_id
42496,NA,2014-02-10,EXCERPTS,8926,2012-07-21,Male,White,Not Hispanic or Latino,typical,English,NA,19 mos,free play,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42497,NA,2014-02-10,EXCERPTS,8927,2012-07-15,Male,More than one,Not Hispanic or Latino,typical,English,NA,19 mos,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42498,NA,2014-03-10,SHARED,8932,2012-08-15,Male,White,Not Hispanic or Latino,typical,English,NA,19 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42499,NA,2014-05-07,EXCERPTS,8936,2012-10-15,Female,More than one,Not Hispanic or Latino,typical,English,NA,19 mos,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42500,NA,2014-10-02,SHARED,8944,2013-06-28,Female,White,Not Hispanic or Latino,typical,English,NA,15 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42501,NA,2015-01-13,EXCERPTS,8946,2013-12-13,Male,White,Not Hispanic or Latino,typical,English,NA,13 mos,background,NA,free play,NA,feeding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42503,NA,2014-10-10,EXCERPTS,8947,2013-03-25,Male,White,Not Hispanic or Latino,typical,English,NA,19 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42504,NA,2015-01-19,SHARED,8948,2013-07-02,Male,White,Hispanic or Latino,typical,English,NA,19 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42505,NA,2014-10-17,EXCERPTS,8952,2013-03-28,Male,NA,Hispanic or Latino,typical,English,NA,19 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42506,NA,2014-10-23,EXCERPTS,8953,2013-07-29,Female,White,Not Hispanic or Latino,typical,English,Did not fall,15 mos,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42507,NA,2014-10-24,EXCERPTS,8956,2013-07-29,Female,White,Not Hispanic or Latino,typical,English,NA,15 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42508,NA,2014-10-27,EXCERPTS,8957,2013-08-08,Male,More than one,Not Hispanic or Latino,typical,English,NA,15 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42509,NA,2014-11-04,EXCERPTS,8959,2013-08-05,Female,Asian,Not Hispanic or Latino,typical,English,NA,15 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42510,NA,2014-XX-XX,PRIVATE,8960,NA,Female,White,Not Hispanic or Latino,typical,English,NA,13 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42511,NA,2015-01-16,EXCERPTS,8961,2013-10-15,Female,White,Hispanic or Latino,typical,English,NA,15 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42512,NA,2014-11-11,EXCERPTS,8962,2013-03-27,Female,More than one,Not Hispanic or Latino,typical,English,NA,19 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42513,NA,2014-11-19,SHARED,8963,2013-10-16,Male,White,Not Hispanic or Latino,typical,English,NA,13 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42514,NA,2015-01-09,EXCERPTS,8968,2013-10-15,Female,White,Not Hispanic or Latino,typical,English,NA,15 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42515,NA,2015-02-18,EXCERPTS,8971,2014-01-06,Male,White,Not Hispanic or Latino,typical,English,NA,13 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42516,NA,2015-02-26,EXCERPTS,832112,2013-07-23,Female,NA,Hispanic or Latino,typical,spanish,NA,19 mos,background,NA,gait,NA,feeding,NA,free play,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,Spanish,US,NY,1042
42517,NA,2015-03-05,EXCERPTS,8954,2013-07-22,Male,White,Not Hispanic or Latino,typical,English,NA,19 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42518,NA,2015-03-06,EXCERPTS,8955,2013-07-30,Female,White,Not Hispanic or Latino,typical,English,NA,19 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42519,NA,2015-03-10,EXCERPTS,832130,2013-08-18,Female,NA,Hispanic or Latino,typical,spanish,NA,19 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,Spanish,US,NY,1042
42520,NA,2015-03-10,EXCERPTS,8976,2014-02-08,Female,More than one,Not Hispanic or Latino,typical,English,NA,13 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42521,NA,2015-04-08,EXCERPTS,8967,2013-09-10,Male,More than one,NA,typical,English,NA,19 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42522,NA,2015-XX-XX,NA,8966,NA,Male,More than one,Not Hispanic or Latino,typical,English,NA,19 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42523,NA,2015-04-13,EXCERPTS,832152,2013-09-09,Male,NA,Hispanic or Latino,typical,spanish,NA,19 mos,background,NA,free play,NA,background,NA,gait,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,Spanish,US,NY,1042
42528,NA,2015-04-14,EXCERPTS,8965,2013-09-05,Male,White,Not Hispanic or Latino,typical,English,Did not fall,19 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42530,NA,2015-04-27,EXCERPTS,832281,2014-04-03,Male,NA,Hispanic or Latino,typical,spanish,NA,13 mos,free play,NA,background,NA,gait,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,Spanish,US,NY,1042
42531,NA,2015-04-30,EXCERPTS,8958,2013-10-03,Female,NA,Hispanic or Latino,typical,English,NA,19 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42532,NA,2015-05-11,EXCERPTS,832299,2014-04-18,Male,NA,Hispanic or Latino,typical,spanish,NA,13 mos,free play,NA,background,NA,gait,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,Spanish,US,NY,1042
42533,NA,2015-05-28,EXCERPTS,8970,2014-04-22,Male,More than one,Hispanic or Latino,typical,English,NA,13 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42534,NA,2015-06-23,EXCERPTS,8942,2013-11-12,Male,White,Not Hispanic or Latino,typical,English,NA,19 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42535,NA,2015-06-26,EXCERPTS,8943,2013-12-07,Male,White,Not Hispanic or Latino,typical,English,NA,19 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42536,NA,2015-07-06,EXCERPTS,8972,2013-12-01,Male,White,Not Hispanic or Latino,typical,English,NA,19 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42537,NA,2015-07-20,EXCERPTS,832213,2013-12-19,Male,NA,Hispanic or Latino,typical,spanish,Did not fall,19 mos,background,NA,free play,NA,background,NA,gait,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,Spanish,US,NY,1042
42538,NA,2015-07-30,EXCERPTS,832226,2013-12-29,Female,NA,Hispanic or Latino,typical,spanish,NA,19 mos,background,NA,free play,NA,background,NA,gait,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,Spanish,US,NY,1042
42539,NA,2015-09-01,EXCERPTS,8982,2014-08-05,Female,More than one,Not Hispanic or Latino,typical,English,NA,13 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42540,NA,2015-09-11,EXCERPTS,8981,2014-07-21,Female,Asian,Not Hispanic or Latino,typical,English,NA,13 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42541,NA,2015-10-12,EXCERPTS,14021,2014-06-29,Male,White,Not Hispanic or Latino,typical,"English, Portuguese",NA,15 mos,free play,NA,feeding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42542,NA,2015-10-14,EXCERPTS,14022,2014-07-08,Female,More than one,Hispanic or Latino,typical,"English, Spanish",NA,15 mos,free play,NA,feeding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42543,NA,2015-XX-XX,NA,14023,NA,Female,White,Not Hispanic or Latino,typical,English,NA,15 mos,free play,NA,feeding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42544,NA,2015-10-23,EXCERPTS,14024,2014-03-28,Male,White,Not Hispanic or Latino,typical,English,NA,19 mos,free play,NA,feeding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42545,NA,2015-10-26,EXCERPTS,14025,2014-07-26,Male,White,Not Hispanic or Latino,typical,"English, Italian",Did not fall,15 mos,free play,NA,feeding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42546,NA,2015-10-28,EXCERPTS,14026,2014-08-03,Female,White,Hispanic or Latino,typical,English,NA,15 mos,free play,NA,feeding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42547,NA,2015-11-03,EXCERPTS,14028,2014-07-23,Female,White,Not Hispanic or Latino,typical,English,NA,15 mos,free play,NA,feeding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42548,NA,2015-11-10,EXCERPTS,14029,2014-08-17,Male,White,Not Hispanic or Latino,typical,English,NA,15 mos,free play,NA,feeding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
