"vol.id","session.id","asset.id","format","duration","permission","mimetype","extension"
4,66,9242,-800,402336,3,"video/mp4","mp4"
4,66,9244,-800,402336,3,"video/mp4","mp4"
4,67,9248,-800,345643,3,"video/mp4","mp4"
4,68,106,-800,383876,3,"video/mp4","mp4"
4,69,9250,-800,283414,3,"video/mp4","mp4"
4,70,9252,-800,146013,3,"video/mp4","mp4"
4,70,9254,-800,153454,3,"video/mp4","mp4"
4,70,9256,-800,389963,3,"video/mp4","mp4"
4,72,9258,-800,209576,3,"video/mp4","mp4"
4,73,9262,-800,152019,3,"video/mp4","mp4"
4,73,9260,-800,152068,3,"video/mp4","mp4"
4,73,9264,-800,200234,3,"video/mp4","mp4"
4,74,9266,-800,336210,3,"video/mp4","mp4"
4,75,59,-800,336852,3,"video/mp4","mp4"
4,76,95,-800,305970,3,"video/mp4","mp4"
4,77,9269,-800,308311,3,"video/mp4","mp4"
4,77,9273,-800,334401,3,"video/mp4","mp4"
4,77,9271,-800,334623,3,"video/mp4","mp4"
4,78,9275,-800,459479,3,"video/mp4","mp4"
4,78,9279,-800,521855,3,"video/mp4","mp4"
4,78,9277,-800,522171,3,"video/mp4","mp4"
4,79,81,-800,320668,3,"video/mp4","mp4"
4,80,80,-800,269956,3,"video/mp4","mp4"
5,82,160,-800,2426758,3,"video/mp4","mp4"
5,83,25473,-800,2722187,3,"video/mp4","mp4"
5,84,11783,-800,2595293,3,"video/mp4","mp4"
5,85,11860,-800,2076942,3,"video/mp4","mp4"
5,86,9186,-800,2806938,3,"video/mp4","mp4"
5,87,11861,-800,2364162,3,"video/mp4","mp4"
5,88,11862,-800,1790723,3,"video/mp4","mp4"
5,89,9192,-800,2008407,3,"video/mp4","mp4"
5,90,9194,-800,2759657,3,"video/mp4","mp4"
5,91,128,-800,3069133,3,"video/mp4","mp4"
5,92,121,-800,2112644,3,"video/mp4","mp4"
5,93,11781,-800,3830627,3,"video/mp4","mp4"
5,94,11780,-800,2053552,3,"video/mp4","mp4"
5,95,126,-800,2424422,3,"video/mp4","mp4"
5,96,119,-800,3713210,3,"video/mp4","mp4"
5,97,171,-800,3569566,3,"video/mp4","mp4"
5,98,168,-800,2857255,3,"video/mp4","mp4"
5,99,11782,-800,2449047,3,"video/mp4","mp4"
5,100,152,-800,1655654,3,"video/mp4","mp4"
5,101,11778,-800,3039904,3,"video/mp4","mp4"
5,102,11776,-800,2963294,3,"video/mp4","mp4"
5,103,113,-800,1887119,3,"video/mp4","mp4"
5,104,127,-800,2933831,3,"video/mp4","mp4"
5,105,11779,-800,4226156,3,"video/mp4","mp4"
5,106,11777,-800,2471603,3,"video/mp4","mp4"
5,107,11784,-800,919552,3,"video/mp4","mp4"
5,108,147,-800,2560861,3,"video/mp4","mp4"
5,109,11792,-800,2751886,3,"video/mp4","mp4"
5,110,11788,-800,3921389,3,"video/mp4","mp4"
5,111,117,-800,3645654,3,"video/mp4","mp4"
5,112,124,-800,1923051,3,"video/mp4","mp4"
5,113,170,-800,1787456,3,"video/mp4","mp4"
5,114,11795,-800,1929864,3,"video/mp4","mp4"
5,115,11791,-800,918456,3,"video/mp4","mp4"
5,115,143,-800,107840,3,"video/mp4","mp4"
5,116,11785,-800,873056,3,"video/mp4","mp4"
5,118,11794,-800,1475232,3,"video/mp4","mp4"
5,119,11790,-800,2514482,3,"video/mp4","mp4"
5,120,11786,-800,1498664,3,"video/mp4","mp4"
5,121,11787,-800,2937248,3,"video/mp4","mp4"
5,122,11789,-800,3578054,3,"video/mp4","mp4"
5,123,11793,-800,1907064,3,"video/mp4","mp4"
5,125,189,-800,1215446,3,"video/mp4","mp4"
5,126,11798,-800,854246,3,"video/mp4","mp4"
5,126,192,-800,531648,3,"video/mp4","mp4"
5,127,186,-800,758059,3,"video/mp4","mp4"
5,128,11800,-800,1063862,3,"video/mp4","mp4"
5,129,11799,-800,1170059,3,"video/mp4","mp4"
5,130,11796,-800,799851,3,"video/mp4","mp4"
5,131,11797,-800,1296446,3,"video/mp4","mp4"
5,132,184,-800,887062,3,"video/mp4","mp4"
5,133,183,-800,1438059,3,"video/mp4","mp4"
5,6027,9016,-800,2154186,3,"video/mp4","mp4"
5,6028,9018,-800,1220620,3,"video/mp4","mp4"
5,6029,9020,-800,3537835,3,"video/mp4","mp4"
5,6030,11807,-800,959726,3,"video/mp4","mp4"
5,6031,11808,-800,2318984,3,"video/mp4","mp4"
5,6032,9026,-800,2226825,3,"video/mp4","mp4"
5,6033,11809,-800,2247913,3,"video/mp4","mp4"
5,6034,11810,-800,2228660,3,"video/mp4","mp4"
5,6035,9032,-800,1300600,3,"video/mp4","mp4"
5,6036,9034,-800,2658459,3,"video/mp4","mp4"
5,6037,9036,-800,1451986,3,"video/mp4","mp4"
5,6038,11811,-800,1213881,3,"video/mp4","mp4"
5,6039,11812,-800,1561259,3,"video/mp4","mp4"
5,6040,11813,-800,8212813,3,"video/mp4","mp4"
5,6041,9044,-800,1385319,3,"video/mp4","mp4"
5,6042,9046,-800,2460651,3,"video/mp4","mp4"
5,6043,11814,-800,2100651,3,"video/mp4","mp4"
5,6044,11815,-800,2106374,3,"video/mp4","mp4"
5,6045,11816,-800,3479109,3,"video/mp4","mp4"
5,6046,11817,-800,3112710,3,"video/mp4","mp4"
5,6047,11818,-800,2946577,3,"video/mp4","mp4"
5,6048,9058,-800,3524221,3,"video/mp4","mp4"
5,6049,9060,-800,3492756,3,"video/mp4","mp4"
5,6050,9062,-800,2731062,3,"video/mp4","mp4"
5,6051,11819,-800,1974473,3,"video/mp4","mp4"
5,6052,11820,-800,2910942,3,"video/mp4","mp4"
5,6053,11821,-800,3544208,3,"video/mp4","mp4"
5,6054,11822,-800,5411039,3,"video/mp4","mp4"
5,6055,9072,-800,4722218,3,"video/mp4","mp4"
5,6056,11823,-800,4350780,3,"video/mp4","mp4"
5,6057,11824,-800,4049780,3,"video/mp4","mp4"
5,6058,11825,-800,2325524,3,"video/mp4","mp4"
5,6059,11826,-800,4645441,3,"video/mp4","mp4"
5,6060,9082,-800,1907806,3,"video/mp4","mp4"
5,6061,11827,-800,3353384,3,"video/mp4","mp4"
5,6062,11828,-800,2215247,3,"video/mp4","mp4"
5,6063,11829,-800,3112310,3,"video/mp4","mp4"
5,6064,11830,-800,771805,3,"video/mp4","mp4"
5,6064,9092,-800,3606570,3,"video/mp4","mp4"
5,6065,11831,-800,2769501,3,"video/mp4","mp4"
5,6066,11832,-800,4512575,3,"video/mp4","mp4"
5,6067,11833,-800,3312476,3,"video/mp4","mp4"
5,6068,9100,-800,2433098,3,"video/mp4","mp4"
5,6069,11834,-800,3589019,3,"video/mp4","mp4"
5,6070,9104,-800,3926490,3,"video/mp4","mp4"
5,6071,11835,-800,2627025,3,"video/mp4","mp4"
5,6072,11836,-800,3334499,3,"video/mp4","mp4"
