inst_id,inst_name,inst_url,databrary_url,n_auth_invest,daa,lat,lon
356,Binghamton University,https://www.binghamton.edu/,https://nyu.databrary.org/party/356,1,TRUE,42.0893553,-75.9697049
358,Lehigh University,https://www1.lehigh.edu/,https://nyu.databrary.org/party/358,3,TRUE,40.6069087,-75.3782832
359,University of Akron,https://www.uakron.edu/,https://nyu.databrary.org/party/359,1,TRUE,41.076655,-81.5113386
363,Syracuse University,https://www.syracuse.edu/,https://nyu.databrary.org/party/363,1,TRUE,43.039153399999996,-76.1351158
382,New York State Psychiatric Institute,NA,https://nyu.databrary.org/party/382,0,FALSE,40.8425117,-73.9444143
391,Michigan State University,https://msu.edu/,https://nyu.databrary.org/party/391,6,TRUE,42.701848,-84.4821719
402,University of São Paulo,http://www5.usp.br/english/?lang=en,https://nyu.databrary.org/party/402,2,TRUE,-23.5613991,-46.7307891
419,"Lehman College, CUNY",http://www.lehman.cuny.edu/,https://nyu.databrary.org/party/419,1,TRUE,40.8713962,-73.8963454
428,Rosalind Franklin University of Medicine and Science,https://www.rosalindfranklin.edu/,https://nyu.databrary.org/party/428,1,TRUE,42.300356,-87.8586267
471,Swinburne University of Technology,http://www.swinburne.edu.au/,https://nyu.databrary.org/party/471,2,TRUE,-37.8221504,145.0389546
502,Trinity College,https://www.trincoll.edu/,https://nyu.databrary.org/party/502,2,TRUE,41.7479332,-72.6903345
553,Cincinnati Children’s Hospital Medical Center,https://www.cincinnatichildrens.org/,https://nyu.databrary.org/party/553,1,TRUE,39.1404751,-84.5015397
554,Macquarie University,http://mq.edu.au,https://nyu.databrary.org/party/554,1,TRUE,-33.7738237,151.1126498
560,Bard College,http://www.bard.edu/,https://nyu.databrary.org/party/560,1,TRUE,42.0203897,-73.9100544
794,Oberlin College,https://www.oberlin.edu/,https://nyu.databrary.org/party/794,2,TRUE,41.293483,-82.2236001
797,University of Hawaii at Manoa,https://manoa.hawaii.edu/,https://nyu.databrary.org/party/797,2,TRUE,21.296939,-157.8171118
826,University of Manitoba,http://umanitoba.ca/,https://nyu.databrary.org/party/826,1,TRUE,49.8075008,-97.1366259
919,Alexandru Ioan Cuza University,http://www.uaic.ro/en/,https://nyu.databrary.org/party/919,1,TRUE,47.1739612,27.5721063
931,Radboud University,http://www.ru.nl/english/,https://nyu.databrary.org/party/931,8,TRUE,51.8193148,5.8568877
934,Niagara University,https://www.niagara.edu/,https://nyu.databrary.org/party/934,2,TRUE,43.1365152,-79.0353197
935,Colby College,https://www.colby.edu/,https://nyu.databrary.org/party/935,1,TRUE,44.5638691,-69.6626362
940,Wabash College,https://www.wabash.edu/,https://nyu.databrary.org/party/940,1,TRUE,40.0378111,-86.9066552
945,Wayne State University,https://wayne.edu/,https://nyu.databrary.org/party/945,2,TRUE,42.3591388,-83.0665462
946,McGill University,http://www.mcgill.ca/,https://nyu.databrary.org/party/946,1,TRUE,45.5047847,-73.5771511
947,College of the Holy Cross,https://www.holycross.edu/,https://nyu.databrary.org/party/947,2,TRUE,42.2392391,-71.8079608
952,Queen's University,http://www.queensu.ca/,https://nyu.databrary.org/party/952,1,TRUE,44.2252795,-76.4951412
953,Wake Forest University,https://www.wfu.edu/,https://nyu.databrary.org/party/953,1,TRUE,36.1352495,-80.2763425
963,Baylor College of Medicine,https://www.bcm.edu/,https://nyu.databrary.org/party/963,1,TRUE,29.710529,-95.396241
976,ISCTE - University Institute of Lisbon (IUL),https://www.iscte-iul.pt/,https://nyu.databrary.org/party/976,2,TRUE,38.7478406,-9.1534428
977,University of Pennsylvania,https://www.upenn.edu/,https://nyu.databrary.org/party/977,5,TRUE,39.9522188,-75.1932137
991,University of Winchester,https://www.winchester.ac.uk/,https://nyu.databrary.org/party/991,1,TRUE,51.0597004,-1.3282476
996,Canisius College,https://www.canisius.edu/,https://nyu.databrary.org/party/996,1,TRUE,42.9248338,-78.8514848
999,University of Central Florida,https://www.ucf.edu/,https://nyu.databrary.org/party/999,2,TRUE,28.6024274,-81.2000599
1013,Grinnell College,https://www.grinnell.edu/,https://nyu.databrary.org/party/1013,2,TRUE,41.7490571,-92.7201302
1014,Max Planck Institute for Human Development,https://www.mpib-berlin.mpg.de/en,https://nyu.databrary.org/party/1014,3,TRUE,52.468554,13.303832
1043,Rochester Institute of Technology,http://www.rit.edu/,https://nyu.databrary.org/party/1043,6,TRUE,43.0861017,-77.6705143
1050,University of Trier,https://www.uni-trier.de/,https://nyu.databrary.org/party/1050,1,TRUE,49.7457817,6.6884495
1053,Middlesex University,http://www.mdx.ac.uk/,https://nyu.databrary.org/party/1053,2,TRUE,51.589755,-0.228299
1055,Oregon State University,https://oregonstate.edu/,https://nyu.databrary.org/party/1055,6,TRUE,44.5637806,-123.2794443
1058,South Carolina,NA,https://nyu.databrary.org/party/1058,0,FALSE,33.836081,-81.1637245
1063,Claude Bernard University Lyon 1,https://www.univ-lyon1.fr/en/home-759942.kjsp,https://nyu.databrary.org/party/1063,1,TRUE,45.7788727,4.8679611
1065,Bilkent University,http://w3.bilkent.edu.tr/bilkent/,https://nyu.databrary.org/party/1065,1,TRUE,39.8746147,32.7475962
1067,Pace University,http://www.pace.edu/,https://nyu.databrary.org/party/1067,3,TRUE,40.7111197,-74.0048567
1068,Purdue University,http://www.purdue.edu/,https://nyu.databrary.org/party/1068,8,TRUE,40.4237054,-86.9211946
1071,University of Erlangen-Nuremberg,https://www.fau.de/,https://nyu.databrary.org/party/1071,1,TRUE,49.5978804,11.0045507
1080,Newcastle University,http://www.ncl.ac.uk/,https://nyu.databrary.org/party/1080,1,TRUE,54.9791871,-1.6146608
1089,Williams College,https://www.williams.edu/,https://nyu.databrary.org/party/1089,3,TRUE,42.7128038,-73.2030214
1092,"University of Missouri, St. Louis",https://www.umsl.edu/,https://nyu.databrary.org/party/1092,1,TRUE,38.7092187,-90.3083223
1100,Gettysburg College,http://www.gettysburg.edu/,https://nyu.databrary.org/party/1100,2,TRUE,39.8362073,-77.2375078
1111,Hofstra University,https://www.hofstra.edu/,https://nyu.databrary.org/party/1111,1,TRUE,40.716792,-73.5994041
1131,Loyola University Chicago,http://www.luc.edu/,https://nyu.databrary.org/party/1131,4,TRUE,41.998997,-87.6581921
1179,"University of Louisiana, Lafayette",https://louisiana.edu/,https://nyu.databrary.org/party/1179,2,TRUE,30.2114404,-92.0204121
1186,"University of Nevada, Las Vegas",https://www.unlv.edu/,https://nyu.databrary.org/party/1186,4,TRUE,36.1072396,-115.1425003
1187,"University of North Carolina, Greensboro",https://www.uncg.edu/,https://nyu.databrary.org/party/1187,7,TRUE,36.0689296,-79.8101976
1235,Miami University,http://miamioh.edu/index.html,https://nyu.databrary.org/party/1235,4,TRUE,39.5105334,-84.7308768
1255,Christopher Newport University,http://cnu.edu/,https://nyu.databrary.org/party/1255,1,TRUE,37.0646188,-76.4944384
1260,Millersville University,https://www.millersville.edu/,https://nyu.databrary.org/party/1260,1,TRUE,39.9976889,-76.3544283
1272,University of Nicosia,https://www.unic.ac.cy/,https://nyu.databrary.org/party/1272,1,TRUE,35.16582,33.314438
1275,Slippery Rock University,https://www.sru.edu/,https://nyu.databrary.org/party/1275,1,TRUE,41.0630249,-80.0411691
1312,Grand Valley State University,https://www.gvsu.edu/,https://nyu.databrary.org/party/1312,2,TRUE,42.9639355,-85.8889465
1313,Boston Children's Hospital,http://www.childrenshospital.org/,https://nyu.databrary.org/party/1313,2,TRUE,42.3374646,-71.1053217
1314,Wesleyan University,https://www.wesleyan.edu/,https://nyu.databrary.org/party/1314,3,TRUE,41.5566104,-72.6569041
1318,Northern Illinois University,https://www.niu.edu/,https://nyu.databrary.org/party/1318,2,TRUE,41.934233,-88.774069
1333,University of the Sciences,https://www.usciences.edu/,https://nyu.databrary.org/party/1333,2,TRUE,39.9468299,-75.2070979
1336,Swarthmore College,https://www.swarthmore.edu/,https://nyu.databrary.org/party/1336,1,TRUE,39.9038329,-75.3526559
1337,IE University,https://www.ie.edu/,https://nyu.databrary.org/party/1337,1,TRUE,40.9528125,-4.1187957
1346,Ozyegin University,https://www.ozyegin.edu.tr/en,https://nyu.databrary.org/party/1346,2,TRUE,41.0313315,29.2587156
1353,"University of Nebraska, Lincoln",https://www.unl.edu/,https://nyu.databrary.org/party/1353,3,TRUE,40.8201966,-96.7004763
1354,Montana State University,http://www.montana.edu/,https://nyu.databrary.org/party/1354,0,TRUE,45.6667557,-111.04981
1362,Earlham College,http://earlham.edu/,https://nyu.databrary.org/party/1362,1,TRUE,39.8208853,-84.913052
1364,Princeton University,https://www.princeton.edu/,https://nyu.databrary.org/party/1364,6,TRUE,40.3439888,-74.6514481
1368,Rhodes College,https://www.rhodes.edu/,https://nyu.databrary.org/party/1368,0,TRUE,35.1550839,-89.9892872
1369,Colorado College,https://www.coloradocollege.edu/,https://nyu.databrary.org/party/1369,1,TRUE,38.846594,-104.824394
1384,University of Arkansas,https://www.uark.edu/,https://nyu.databrary.org/party/1384,1,TRUE,36.0678324,-94.1736551
1389,University of Arkansas at Little Rock,http://ualr.edu/,https://nyu.databrary.org/party/1389,1,TRUE,34.7240568,-92.3388872
1407,University of Montana,https://www.umt.edu/,https://nyu.databrary.org/party/1407,4,TRUE,46.8600672,-113.9852081
1420,University of Stirling,https://www.stir.ac.uk/,https://nyu.databrary.org/party/1420,1,TRUE,56.1459171,-3.918879
1421,"National Institute of Astrophysics, Optics and Electronics (INAOE)",http://inaoep.mx/,https://nyu.databrary.org/party/1421,1,TRUE,19.0323107,-98.3153702
1427,IRCCS Stella Maris Foundation,http://www.fsm.unipi.it/,https://nyu.databrary.org/party/1427,0,FALSE,43.6077483,10.2921259
1428,Memorial University,https://www.mun.ca/,https://nyu.databrary.org/party/1428,1,TRUE,47.5737975,-52.7329053
1453,University of Tampere,http://www2.uta.fi/en,https://nyu.databrary.org/party/1453,2,TRUE,61.4937448,23.7787354
1464,University of Utah,https://www.utah.edu/,https://nyu.databrary.org/party/1464,2,TRUE,40.7649368,-111.8421021
1470,Central European University,https://www.ceu.edu/,https://nyu.databrary.org/party/1470,2,TRUE,47.5005395,19.04958
1471,Davidson College,https://www.davidson.edu/,https://nyu.databrary.org/party/1471,3,TRUE,35.5017318,-80.8467793
1480,University of Geneva,https://www.unige.ch/en/university/presentation/,https://nyu.databrary.org/party/1480,1,TRUE,40.7713156,-80.3218472
1482,University of North Georgia,https://ung.edu/,https://nyu.databrary.org/party/1482,1,TRUE,34.5278618,-83.9844416
1486,"Barnard College, Columbia University",https://barnard.edu/,https://nyu.databrary.org/party/1486,2,TRUE,40.8090248,-73.9638131
1489,Free University of Brussels,http://www.ulb.ac.be/ulb/presentation/uk.html,https://nyu.databrary.org/party/1489,1,TRUE,50.8218963,4.3949396
1490,"Paul Valéry University,  Montpellier 3",https://www.univ-montp3.fr/,https://nyu.databrary.org/party/1490,1,TRUE,43.632442,3.8702447
1504,Jagiellonian University,http://www.en.uj.edu.pl/en,https://nyu.databrary.org/party/1504,2,TRUE,50.0609623,19.9341074
1505,"New York University, School of Medicine",https://med.nyu.edu/,https://nyu.databrary.org/party/1505,9,TRUE,40.742133,-73.9738511
1511,Teesside University,https://www.tees.ac.uk/,https://nyu.databrary.org/party/1511,1,TRUE,54.5706735,-1.2352742
1512,Oregon Health & Science University,https://www.ohsu.edu/xd/,https://nyu.databrary.org/party/1512,1,TRUE,44.9410233,-123.0302858
1529,Weill Cornell Medicine,http://weill.cornell.edu/,https://nyu.databrary.org/party/1529,1,TRUE,40.7655258,-73.9550018
1530,University at Buffalo,https://www.buffalo.edu/,https://nyu.databrary.org/party/1530,1,TRUE,43.0008093,-78.7889697
1543,Interdisciplinary Center Herzliya,https://www.idc.ac.il/he/pages/home.aspx,https://nyu.databrary.org/party/1543,2,TRUE,32.176113,34.836234
1548,St. Lawrence University,https://www.stlawu.edu/,https://nyu.databrary.org/party/1548,1,TRUE,44.5892119,-75.1608814
1557,University Paris 8,http://www.univ-paris8.fr/en/,https://nyu.databrary.org/party/1557,1,TRUE,48.9449361,2.3635622
1561,University of the Basque Country,http://www.ehu.eus/en/en-home,https://nyu.databrary.org/party/1561,2,TRUE,43.3309433,-2.9678921
1570,"University of California, Merced",https://www.ucmerced.edu/,https://nyu.databrary.org/party/1570,3,TRUE,37.3660652,-120.4224179
1598,Villanova University,http://www1.villanova.edu/main.html,https://nyu.databrary.org/party/1598,2,TRUE,40.037056,-75.34358
1603,Texas Christian University,http://www.tcu.edu/,https://nyu.databrary.org/party/1603,2,TRUE,32.70953,-97.362795
1608,University of New South Wales,https://www.unsw.edu.au/,https://nyu.databrary.org/party/1608,2,TRUE,-33.917347,151.2312675
1609,University of Quebec at Trois-Rivieres,http://www.uqtr.ca/,https://nyu.databrary.org/party/1609,1,TRUE,46.3472006,-72.5770937
1625,Liverpool Hope University,https://www.hope.ac.uk/,https://nyu.databrary.org/party/1625,2,TRUE,53.3908007,-2.8922988
1626,"California State University, Northridge",https://www.csun.edu/,https://nyu.databrary.org/party/1626,3,TRUE,34.2410366,-118.5276745
1654,University of Oklahoma,http://www.ou.edu/,https://nyu.databrary.org/party/1654,3,TRUE,35.2058936,-97.4457137
1678,"University of North Carolina, Asheville",https://www.unca.edu/,https://nyu.databrary.org/party/1678,1,TRUE,35.6164875,-82.5665082
1683,Federal University of Parana,http://www.ufpr.br/portalufpr/,https://nyu.databrary.org/party/1683,1,TRUE,-25.4269081,-49.2617658
1692,"University of Wisconsin, Whitewater",http://www.uww.edu/,https://nyu.databrary.org/party/1692,1,TRUE,42.8411746,-88.7452813
